,centroidx,centroidy,minor_axis_length,major_axis_length,orientation
0,93.13186813186813,469.1208791208791,9.13187654603192,12.661618992480461,1.5535375398303617
1,96.46835443037975,433.2151898734177,8.362397458476952,11.989318517502307,-1.5379512060732032
2,120.62962962962963,94.04761904761905,13.434709158017283,17.927757958187627,-1.5673919482395582
3,202.42857142857142,85.71428571428571,1.9054711331003737,4.155374705678736,1.4250679295559632
4,238.0,27.0,2.9541957835039856,4.51260859854213,1.5707963267948966
5,254.5,216.69565217391303,6.3382894414406685,9.169687879279351,1.5707963267948966
6,262.96178343949043,14.509554140127388,12.263352894826363,16.306948131841978,-1.5629073021540028
7,269.64150943396226,227.71698113207546,9.83331168977564,13.710147284514939,-1.516522116254818
8,271.7755102040816,288.8979591836735,6.722716592085461,9.26015772126743,1.5395561727501772
9,300.5,241.5,4.09878030638384,6.0,1.5707963267948966
10,310.1818181818182,283.6818181818182,6.609858403360575,8.484055243521633,1.4992693829602262
11,335.25925925925924,286.44444444444446,10.99408747239857,15.630621332119972,1.5617283972803713
12,338.85714285714283,248.0857142857143,5.4883585522611975,8.145435806846312,-1.5002557129246492
